instant,dteday,hr,weathersit,temp,atemp,hum,windspeed,cnt
3916,2011/6/17,1,1,22.96,26.515,94,8.9981,23
3917,2011/6/17,2,1,22.96,26.515,94,7.0015,13
3918,2011/6/17,3,1,22.96,26.515,94,7.0015,6
3919,2011/6/17,4,1,22.14,25.76,94,8.9981,6
3920,2011/6/17,5,1,22.14,25.76,100,0,13
3921,2011/6/17,6,1,22.96,26.515,94,0,97
3922,2011/6/17,7,1,24.6,28.03,83,0,250
3923,2011/6/17,8,2,24.6,28.03,83,0,454
3924,2011/6/17,9,1,28.7,32.575,58,12.998,224
3925,2011/6/17,10,1,28.7,32.575,58,12.998,170
3926,2011/6/17,11,1,27.88,31.82,69,16.9979,181
3927,2011/6/17,12,1,28.7,32.575,65,16.9979,243
3928,2011/6/17,13,1,30.34,34.09,62,19.0012,204
3929,2011/6/17,14,1,31.16,34.85,52,12.998,215
3930,2011/6/17,15,1,31.98,34.85,43,15.0013,243
3931,2011/6/17,16,1,31.16,34.09,45,11.0014,355
3932,2011/6/17,17,3,31.16,34.09,40,12.998,552
3933,2011/6/17,18,3,31.16,34.09,40,12.998,450
3934,2011/6/17,19,3,26.24,28.79,83,16.9979,328
3935,2011/6/17,20,1,26.24,29.545,78,7.0015,232
3936,2011/6/17,21,1,26.24,29.545,78,6.0032,208
3937,2011/6/17,22,1,25.42,28.03,88,8.9981,175
3938,2011/6/17,23,1,25.42,28.79,83,8.9981,178
3939,2011/6/18,0,1,25.42,28.03,88,8.9981,104
3940,2011/6/18,1,1,25.42,28.79,83,7.0015,95
3941,2011/6/18,2,1,24.6,27.275,88,0,53
3942,2011/6/18,3,1,24.6,27.275,88,6.0032,20
3943,2011/6/18,4,1,24.6,27.275,88,6.0032,5
3944,2011/6/18,5,1,25.42,28.79,83,0,7
3945,2011/6/18,6,1,25.42,28.79,83,7.0015,27
3946,2011/6/18,7,1,26.24,29.545,78,8.9981,57
3947,2011/6/18,8,1,27.06,30.305,78,6.0032,131
3948,2011/6/18,9,1,28.7,32.575,61,15.0013,218
3949,2011/6/18,10,1,29.52,34.09,62,12.998,244
3950,2011/6/18,11,1,29.52,34.09,62,8.9981,404
3951,2011/6/18,12,1,30.34,34.85,66,6.0032,420
3952,2011/6/18,13,1,31.16,34.85,55,0,327
3953,2011/6/18,14,2,32.8,36.365,46,19.0012,334
3954,2011/6/18,15,2,33.62,37.88,46,8.9981,367
3955,2011/6/18,16,2,31.16,34.85,52,15.0013,468
3956,2011/6/18,17,2,31.16,34.09,48,11.0014,449
3957,2011/6/18,18,2,30.34,34.09,55,12.998,381
3958,2011/6/18,19,2,30.34,33.335,51,7.0015,326
3959,2011/6/18,20,2,29.52,33.335,58,8.9981,188
3960,2011/6/18,21,2,29.52,34.09,66,7.0015,183
3961,2011/6/18,22,2,29.52,34.09,62,8.9981,161
3962,2011/6/18,23,2,29.52,34.09,62,0,150
3963,2011/6/19,0,1,28.7,32.575,65,0,89
3964,2011/6/19,1,2,28.7,32.575,65,6.0032,76
3965,2011/6/19,2,1,27.88,31.82,74,6.0032,72
3966,2011/6/19,3,2,27.06,30.305,78,8.9981,30
3967,2011/6/19,4,2,27.06,31.06,74,8.9981,17
3968,2011/6/19,5,2,27.06,30.305,78,0,19
3969,2011/6/19,6,2,27.06,30.305,78,11.0014,33
3970,2011/6/19,7,2,27.06,30.305,78,11.0014,71
3971,2011/6/19,8,3,27.88,31.82,74,7.0015,84
3972,2011/6/19,9,2,27.88,31.82,74,7.0015,169
3973,2011/6/19,10,2,28.7,32.575,61,7.0015,244
3974,2011/6/19,11,2,29.52,33.335,58,6.0032,377
3975,2011/6/19,12,2,30.34,34.09,55,6.0032,396
3976,2011/6/19,13,2,30.34,33.335,51,0,363
3977,2011/6/19,14,3,30.34,34.09,58,7.0015,317
3978,2011/6/19,15,2,30.34,34.09,55,7.0015,362
3979,2011/6/19,16,2,31.16,34.09,48,0,378
3980,2011/6/19,17,1,30.34,33.335,51,0,397
3981,2011/6/19,18,2,30.34,34.09,58,6.0032,296
3982,2011/6/19,19,1,29.52,34.09,62,8.9981,311
3983,2011/6/19,20,1,28.7,32.575,70,12.998,232
3984,2011/6/19,21,1,27.88,31.82,79,8.9981,167
3985,2011/6/19,22,1,27.06,30.305,78,15.0013,152
3986,2011/6/19,23,1,27.06,30.305,78,12.998,92
3987,2011/6/20,0,1,27.06,30.305,83,11.0014,26
3988,2011/6/20,1,1,26.24,28.79,89,6.0032,12
3989,2011/6/20,2,1,26.24,28.79,89,6.0032,2
3990,2011/6/20,3,3,26.24,28.79,89,0,1
3991,2011/6/20,4,3,25.42,28.03,88,11.0014,3
3992,2011/6/20,5,3,25.42,28.79,83,8.9981,3
3993,2011/6/20,6,3,24.6,28.79,78,8.9981,26
3994,2011/6/20,7,3,22.96,26.515,88,12.998,46
3995,2011/6/20,8,3,22.96,26.515,83,12.998,221
3996,2011/6/20,9,2,24.6,28.79,78,16.9979,219
3997,2011/6/20,10,2,24.6,28.79,78,16.9979,91
3998,2011/6/20,11,2,24.6,28.79,78,7.0015,94
3999,2011/6/20,12,2,25.42,30.305,69,7.0015,162
4000,2011/6/20,13,1,26.24,30.305,65,7.0015,179
4001,2011/6/20,14,1,27.06,31.06,61,7.0015,175
4002,2011/6/20,15,1,27.06,31.06,61,8.9981,205
4003,2011/6/20,16,1,28.7,32.575,58,11.0014,299
4004,2011/6/20,17,1,28.7,32.575,54,0,565
4005,2011/6/20,18,1,28.7,32.575,61,16.9979,538
4006,2011/6/20,19,1,27.06,31.06,65,15.0013,431
4007,2011/6/20,20,1,27.06,31.06,69,15.0013,316
4008,2011/6/20,21,1,26.24,30.305,73,11.0014,206
4009,2011/6/20,22,2,26.24,30.305,73,15.0013,130
4010,2011/6/20,23,1,25.42,29.545,78,16.9979,60
4011,2011/6/21,0,1,25.42,29.545,78,11.0014,33
4012,2011/6/21,1,3,25.42,29.545,78,11.0014,14
4013,2011/6/21,2,3,25.42,28.79,83,11.0014,6
4014,2011/6/21,3,3,25.42,28.79,83,11.0014,2
4015,2011/6/21,4,2,24.6,27.275,88,7.0015,9
4016,2011/6/21,5,2,24.6,27.275,88,8.9981,25
4017,2011/6/21,6,2,24.6,27.275,88,8.9981,115
4018,2011/6/21,7,2,24.6,25.76,94,0,309
4019,2011/6/21,8,2,25.42,28.03,88,7.0015,401
4020,2011/6/21,9,2,25.42,28.03,88,16.9979,275
4021,2011/6/21,10,2,26.24,28.79,83,12.998,161
4022,2011/6/21,11,1,27.06,30.305,83,11.0014,171
4023,2011/6/21,12,1,28.7,33.335,74,11.0014,189
4024,2011/6/21,13,1,30.34,34.85,66,11.0014,207
4025,2011/6/21,14,1,31.16,35.605,62,15.0013,152
4026,2011/6/21,15,1,31.98,37.12,59,16.9979,170
4027,2011/6/21,16,1,32.8,38.635,59,15.0013,335
4028,2011/6/21,17,1,31.98,37.88,66,15.0013,572
4029,2011/6/21,18,2,31.16,36.365,70,16.9979,536
4030,2011/6/21,19,2,30.34,35.605,74,15.0013,425
4031,2011/6/21,20,3,30.34,34.85,70,15.0013,326
4032,2011/6/21,21,1,29.52,34.85,74,12.998,229
4033,2011/6/21,22,1,28.7,33.335,79,7.0015,109
4034,2011/6/21,23,1,28.7,33.335,74,7.0015,64
4035,2011/6/22,0,1,27.06,30.305,78,12.998,33
4036,2011/6/22,1,1,27.06,30.305,78,8.9981,21
4037,2011/6/22,2,1,27.06,30.305,78,0,7
4038,2011/6/22,3,1,27.06,30.305,78,8.9981,7
4039,2011/6/22,4,1,26.24,28.79,83,0,11
4040,2011/6/22,5,1,26.24,28.79,89,0,23
4041,2011/6/22,6,1,27.06,30.305,83,0,122
4042,2011/6/22,7,1,28.7,33.335,79,0,311
4043,2011/6/22,8,1,29.52,34.85,74,7.0015,423
4044,2011/6/22,9,1,29.52,34.85,79,11.0014,219
4045,2011/6/22,10,1,30.34,34.85,70,16.9979,135
4046,2011/6/22,11,1,30.34,34.85,70,11.0014,145
4047,2011/6/22,12,2,32.8,38.635,59,15.0013,188
4048,2011/6/22,13,2,33.62,39.395,56,16.9979,147
4049,2011/6/22,14,2,33.62,38.635,52,19.0012,145
4050,2011/6/22,15,2,33.62,39.395,56,19.0012,146
4051,2011/6/22,16,2,33.62,40.15,59,22.0028,258
4052,2011/6/22,17,2,32.8,37.88,55,26.0027,529
4053,2011/6/22,18,2,32.8,38.635,59,16.9979,513
4054,2011/6/22,19,2,32.8,37.12,52,16.9979,342
4055,2011/6/22,20,1,30.34,35.605,74,8.9981,282
4056,2011/6/22,21,1,30.34,35.605,79,11.0014,247
4057,2011/6/22,22,2,29.52,34.85,79,12.998,148
4058,2011/6/22,23,2,29.52,34.85,79,15.0013,105
4059,2011/6/23,0,1,29.52,34.85,79,15.0013,49
4060,2011/6/23,1,1,29.52,34.85,74,15.0013,31
4061,2011/6/23,2,1,29.52,34.85,74,15.0013,4
4062,2011/6/23,3,2,29.52,34.85,74,11.0014,5
4063,2011/6/23,4,2,28.7,33.335,79,8.9981,7
4064,2011/6/23,5,1,29.52,34.85,74,11.0014,24
4065,2011/6/23,6,1,29.52,34.85,74,11.0014,100
4066,2011/6/23,7,2,29.52,34.85,74,8.9981,327
4067,2011/6/23,8,2,30.34,34.85,70,12.998,432
4068,2011/6/23,9,2,30.34,34.85,70,8.9981,227
4069,2011/6/23,10,2,31.16,36.365,66,8.9981,127
4070,2011/6/23,11,3,31.16,36.365,66,16.9979,136
4071,2011/6/23,12,2,31.16,36.365,66,19.0012,160
4072,2011/6/23,13,2,31.16,35.605,62,19.0012,186
4073,2011/6/23,14,2,31.16,36.365,66,19.9995,149
4074,2011/6/23,15,2,31.16,34.85,52,23.9994,189
4075,2011/6/23,16,2,30.34,34.09,62,19.9995,275
4076,2011/6/23,17,2,29.52,34.09,70,23.9994,569
4077,2011/6/23,18,1,29.52,34.09,70,27.9993,540
4078,2011/6/23,19,1,29.52,34.09,70,23.9994,400
4079,2011/6/23,20,1,28.7,33.335,74,15.0013,352
4080,2011/6/23,21,1,28.7,33.335,74,12.998,234
4081,2011/6/23,22,2,28.7,33.335,74,15.0013,162
4082,2011/6/23,23,1,28.7,33.335,74,19.0012,105
4083,2011/6/24,0,1,27.88,31.82,79,12.998,63
4084,2011/6/24,1,1,27.06,30.305,83,22.0028,28
4085,2011/6/24,2,1,27.06,30.305,83,22.0028,14
4086,2011/6/24,3,1,27.06,30.305,83,11.0014,5
4087,2011/6/24,4,1,27.06,30.305,83,6.0032,9
4088,2011/6/24,5,1,26.24,28.79,89,6.0032,20
4089,2011/6/24,6,1,27.06,30.305,83,8.9981,91
4090,2011/6/24,7,2,27.06,30.305,83,15.0013,268
4091,2011/6/24,8,1,28.7,33.335,74,15.0013,466
4092,2011/6/24,9,1,30.34,34.09,62,8.9981,231
4093,2011/6/24,10,1,32.8,36.365,43,19.0012,145
4094,2011/6/24,11,1,32.8,35.605,38,22.0028,203
4095,2011/6/24,12,1,32.8,35.605,41,19.0012,201
4096,2011/6/24,13,1,32.8,35.605,36,15.0013,221
4097,2011/6/24,14,1,31.98,34.85,43,19.0012,229
4098,2011/6/24,15,1,33.62,36.365,34,26.0027,216
4099,2011/6/24,16,1,32.8,34.85,33,27.9993,327
4100,2011/6/24,17,1,31.16,33.335,37,16.9979,557
4101,2011/6/24,18,1,31.16,33.335,37,19.9995,452
4102,2011/6/24,19,1,30.34,32.575,40,15.0013,385
4103,2011/6/24,20,1,29.52,32.575,45,11.0014,288
4104,2011/6/24,21,1,28.7,32.575,48,8.9981,233
4105,2011/6/24,22,1,28.7,32.575,48,0,167
4106,2011/6/24,23,1,27.88,31.82,51,8.9981,172
4107,2011/6/25,0,1,27.88,31.82,47,11.0014,116
4108,2011/6/25,1,1,27.06,31.06,50,11.0014,95
4109,2011/6/25,2,2,27.06,31.06,50,12.998,59
4110,2011/6/25,3,1,26.24,31.06,57,12.998,39
4111,2011/6/25,4,1,26.24,31.06,57,12.998,11
4112,2011/6/25,5,1,25.42,30.305,61,8.9981,14
4113,2011/6/25,6,1,26.24,31.06,57,15.0013,29
4114,2011/6/25,7,1,26.24,31.06,57,19.0012,42
4115,2011/6/25,8,1,28.7,32.575,48,16.9979,112
4116,2011/6/25,9,1,29.52,32.575,45,16.9979,186
4117,2011/6/25,10,1,29.52,32.575,45,12.998,302
4118,2011/6/25,11,1,30.34,33.335,42,0,331
4119,2011/6/25,12,1,30.34,32.575,40,19.0012,392
4120,2011/6/25,13,1,30.34,32.575,40,19.0012,371
4121,2011/6/25,14,1,30.34,33.335,45,19.9995,383
4122,2011/6/25,15,1,30.34,33.335,45,0,392
4123,2011/6/25,16,1,31.16,34.09,43,19.9995,410
4124,2011/6/25,17,1,30.34,33.335,42,15.0013,399
4125,2011/6/25,18,1,29.52,32.575,45,16.9979,307
4126,2011/6/25,19,1,29.52,33.335,48,19.0012,375
4127,2011/6/25,20,1,28.7,32.575,48,12.998,269
4128,2011/6/25,21,1,27.88,31.82,51,11.0014,202
4129,2011/6/25,22,1,27.88,31.82,47,12.998,187
4130,2011/6/25,23,2,27.06,31.06,50,19.9995,179
4131,2011/6/26,0,1,26.24,31.06,53,0,115
4132,2011/6/26,1,1,26.24,31.06,53,7.0015,90
4133,2011/6/26,2,1,25.42,31.06,57,7.0015,87
4134,2011/6/26,3,1,24.6,30.305,64,7.0015,34
4135,2011/6/26,4,1,24.6,30.305,64,6.0032,11
4136,2011/6/26,5,1,24.6,30.305,64,0,12
4137,2011/6/26,6,1,24.6,30.305,64,0,20
4138,2011/6/26,7,1,25.42,30.305,61,0,51
4139,2011/6/26,8,1,26.24,31.06,61,12.998,107
4140,2011/6/26,9,1,27.06,31.06,54,6.0032,206
4141,2011/6/26,10,1,29.52,33.335,48,7.0015,332
4142,2011/6/26,11,1,29.52,32.575,45,8.9981,346
4143,2011/6/26,12,1,30.34,32.575,40,11.0014,443
4144,2011/6/26,13,1,30.34,32.575,40,0,442
4145,2011/6/26,14,1,30.34,32.575,40,8.9981,443
4146,2011/6/26,15,1,30.34,32.575,40,0,403
4147,2011/6/26,16,1,30.34,33.335,42,12.998,455
4148,2011/6/26,17,2,29.52,32.575,42,11.0014,421
4149,2011/6/26,18,2,29.52,32.575,45,16.9979,382
4150,2011/6/26,19,2,29.52,33.335,48,8.9981,317
4151,2011/6/26,20,2,28.7,32.575,48,7.0015,213
4152,2011/6/26,21,2,28.7,32.575,54,7.0015,183
4153,2011/6/26,22,1,28.7,32.575,51,0,114
4154,2011/6/26,23,1,28.7,32.575,54,6.0032,78
4155,2011/6/27,0,3,26.24,30.305,73,19.0012,32
4156,2011/6/27,1,2,25.42,29.545,78,8.9981,15
4157,2011/6/27,2,3,25.42,29.545,78,8.9981,6
4158,2011/6/27,3,3,25.42,29.545,78,8.9981,2
4159,2011/6/27,4,2,24.6,28.03,83,11.0014,9
4160,2011/6/27,5,2,25.42,28.79,83,11.0014,22
4161,2011/6/27,6,2,25.42,29.545,78,11.0014,94
4162,2011/6/27,7,2,26.24,30.305,73,15.0013,261
4163,2011/6/27,8,1,27.06,31.06,74,12.998,447
4164,2011/6/27,9,2,29.52,33.335,54,0,187
4165,2011/6/27,10,2,29.52,33.335,54,8.9981,150
4166,2011/6/27,11,2,28.7,32.575,58,0,150
4167,2011/6/27,12,2,29.52,33.335,54,0,170
4168,2011/6/27,13,2,29.52,33.335,58,15.0013,164
4169,2011/6/27,14,2,29.52,33.335,58,6.0032,158
4170,2011/6/27,15,2,30.34,34.09,55,0,202
4171,2011/6/27,16,1,30.34,34.09,55,7.0015,275
4172,2011/6/27,17,1,30.34,34.09,55,8.9981,604
4173,2011/6/27,18,1,30.34,33.335,51,0,591
4174,2011/6/27,19,1,29.52,34.09,62,12.998,396
4175,2011/6/27,20,1,28.7,32.575,65,7.0015,305
4176,2011/6/27,21,1,28.7,32.575,65,0,242
4177,2011/6/27,22,1,27.88,31.82,69,0,145
4178,2011/6/27,23,1,27.88,31.82,69,0,81
4179,2011/6/28,0,2,27.06,30.305,78,8.9981,30
4180,2011/6/28,1,1,27.06,31.06,74,0,13
4181,2011/6/28,2,2,27.06,31.06,74,0,11
4182,2011/6/28,3,2,27.06,31.06,74,0,2
4183,2011/6/28,4,1,27.06,31.06,74,0,8
4184,2011/6/28,5,1,27.06,30.305,78,0,21
4185,2011/6/28,6,1,27.06,30.305,83,11.0014,124
4186,2011/6/28,7,1,27.88,31.82,83,12.998,347
4187,2011/6/28,8,1,28.7,33.335,79,11.0014,456
4188,2011/6/28,9,1,30.34,34.85,70,0,246
4189,2011/6/28,10,1,32.8,37.12,49,11.0014,157
4190,2011/6/28,11,1,33.62,37.88,46,0,167
4191,2011/6/28,12,1,34.44,38.635,47,15.0013,202
4192,2011/6/28,13,1,34.44,37.88,44,0,189
4193,2011/6/28,14,1,35.26,39.395,44,15.0013,160
4194,2011/6/28,15,1,35.26,39.395,41,0,166
4195,2011/6/28,16,1,35.26,40.15,47,19.0012,261
4196,2011/6/28,17,3,33.62,39.395,56,19.0012,579
4197,2011/6/28,18,3,32.8,37.88,55,19.9995,504
4198,2011/6/28,19,2,30.34,34.09,58,31.0009,299
4199,2011/6/28,20,1,30.34,34.09,62,0,296
4200,2011/6/28,21,1,30.34,34.85,66,19.0012,195
4201,2011/6/28,22,1,28.7,32.575,70,19.9995,134
4202,2011/6/28,23,1,28.7,32.575,70,19.0012,81
4203,2011/6/29,0,2,27.88,31.82,79,19.0012,36
4204,2011/6/29,1,1,27.88,31.82,79,19.9995,28
4205,2011/6/29,2,1,27.06,30.305,83,15.0013,16
4206,2011/6/29,3,2,27.06,30.305,83,7.0015,5
4207,2011/6/29,4,1,27.06,30.305,83,7.0015,5
4208,2011/6/29,5,1,26.24,28.79,83,12.998,22
4209,2011/6/29,6,1,27.06,31.06,69,19.9995,116
4210,2011/6/29,7,1,28.7,32.575,54,15.0013,336
4211,2011/6/29,8,1,28.7,32.575,48,19.0012,540
4212,2011/6/29,9,1,29.52,32.575,45,26.0027,221
4213,2011/6/29,10,1,30.34,33.335,42,19.0012,126
4214,2011/6/29,11,1,31.16,33.335,35,15.0013,170
4215,2011/6/29,12,1,31.16,33.335,35,16.9979,243
4216,2011/6/29,13,1,32.8,34.85,31,22.0028,231
4217,2011/6/29,14,1,32.8,34.85,31,12.998,188
4218,2011/6/29,15,1,33.62,35.605,30,11.0014,189
4219,2011/6/29,16,1,33.62,35.605,30,27.9993,328
4220,2011/6/29,17,1,33.62,35.605,26,27.9993,570
4221,2011/6/29,18,1,32.8,34.85,29,19.9995,588
4222,2011/6/29,19,1,31.16,33.335,35,26.0027,401
4223,2011/6/29,20,1,30.34,32.575,37,19.9995,333
4224,2011/6/29,21,1,29.52,32.575,39,15.0013,221
4225,2011/6/29,22,1,28.7,31.82,42,12.998,183
4226,2011/6/29,23,1,27.88,31.82,47,12.998,129
4227,2011/6/30,0,1,27.06,31.06,50,11.0014,54
4228,2011/6/30,1,1,26.24,31.06,53,8.9981,32
4229,2011/6/30,2,1,25.42,31.06,57,8.9981,8
4230,2011/6/30,3,1,24.6,30.305,60,11.0014,9
4231,2011/6/30,4,1,23.78,27.275,64,8.9981,6
4232,2011/6/30,5,1,23.78,27.275,64,16.9979,25
4233,2011/6/30,6,1,24.6,30.305,64,16.9979,123
4234,2011/6/30,7,1,25.42,30.305,61,15.0013,320
4235,2011/6/30,8,1,27.88,31.82,47,15.0013,555
4236,2011/6/30,9,1,28.7,31.82,42,15.0013,260
4237,2011/6/30,10,1,29.52,32.575,42,12.998,132
4238,2011/6/30,11,1,30.34,32.575,37,8.9981,169
4239,2011/6/30,12,1,31.16,33.335,35,11.0014,233
4240,2011/6/30,13,1,31.16,33.335,33,12.998,232
4241,2011/6/30,14,1,31.98,34.09,31,12.998,163
4242,2011/6/30,15,1,31.98,33.335,25,16.9979,240
4243,2011/6/30,16,1,32.8,34.85,26,8.9981,323
4244,2011/6/30,17,1,31.98,34.09,27,23.9994,594
4245,2011/6/30,18,1,31.16,33.335,29,16.9979,586
4246,2011/6/30,19,1,30.34,32.575,33,12.998,455
4247,2011/6/30,20,1,30.34,32.575,33,12.998,340
4248,2011/6/30,21,1,29.52,32.575,37,7.0015,323
4249,2011/6/30,22,1,28.7,31.82,42,11.0014,207
4250,2011/6/30,23,1,27.06,31.06,50,0,126
0,2011/6/00,0,0,0,0,0,0,143512
4251,2011/7/1,0,1,27.06,31.06,50,0,68
4252,2011/7/1,1,1,27.06,31.06,50,0,31
4253,2011/7/1,2,1,25.42,30.305,69,0,13
4254,2011/7/1,3,1,26.24,31.06,53,0,11
4255,2011/7/1,4,1,25.42,31.06,57,0,6
4256,2011/7/1,5,1,24.6,30.305,64,8.9981,30
4257,2011/7/1,6,1,25.42,30.305,61,8.9981,108
4258,2011/7/1,7,1,27.06,31.06,54,7.0015,243
4259,2011/7/1,8,1,28.7,31.82,42,11.0014,492
4260,2011/7/1,9,1,30.34,32.575,35,11.0014,260
4261,2011/7/1,10,1,31.16,33.335,33,11.0014,170
4262,2011/7/1,11,1,32.8,34.85,26,0,214
4263,2011/7/1,12,1,32.8,34.85,26,0,263
4264,2011/7/1,13,1,32.8,34.09,24,0,292
4265,2011/7/1,14,1,33.62,34.85,23,12.998,303
4266,2011/7/1,15,1,33.62,34.85,21,16.9979,381
4267,2011/7/1,16,1,33.62,34.85,17,0,427
4268,2011/7/1,17,1,33.62,34.85,21,12.998,461
4269,2011/7/1,18,1,32.8,34.09,24,16.9979,422
4270,2011/7/1,19,1,31.98,33.335,25,12.998,318
4271,2011/7/1,20,1,29.52,32.575,42,15.0013,269
4272,2011/7/1,21,1,28.7,31.82,45,12.998,218
4273,2011/7/1,22,1,28.7,31.82,42,0,222
4274,2011/7/1,23,1,27.88,31.82,47,6.0032,140
4275,2011/7/2,0,1,27.88,31.82,47,6.0032,115
4276,2011/7/2,1,1,27.06,31.06,54,0,78
4277,2011/7/2,2,1,26.24,31.06,53,0,52
4278,2011/7/2,3,1,26.24,31.06,53,0,26
4279,2011/7/2,4,1,25.42,30.305,61,0,11
4280,2011/7/2,5,1,23.78,27.275,73,7.0015,14
4281,2011/7/2,6,1,25.42,30.305,69,7.0015,32
4282,2011/7/2,7,1,26.24,30.305,65,0,45
4283,2011/7/2,8,1,27.88,31.82,57,0,132
4284,2011/7/2,9,1,30.34,33.335,51,6.0032,179
4285,2011/7/2,10,1,32.8,35.605,36,0,271
4286,2011/7/2,11,1,32.8,35.605,36,6.0032,357
4287,2011/7/2,12,1,33.62,35.605,30,8.9981,374
4288,2011/7/2,13,1,33.62,35.605,30,7.0015,404
4289,2011/7/2,14,1,34.44,35.605,20,0,392
4290,2011/7/2,15,1,35.26,36.365,19,11.0014,331
4291,2011/7/2,16,1,36.08,37.12,22,15.0013,398
4292,2011/7/2,17,1,34.44,36.365,30,15.0013,349
4293,2011/7/2,18,1,33.62,35.605,30,19.0012,383
4294,2011/7/2,19,1,32.8,34.85,33,15.0013,305
4295,2011/7/2,20,1,31.16,34.09,45,19.0012,284
4296,2011/7/2,21,1,30.34,33.335,48,12.998,232
4297,2011/7/2,22,1,29.52,33.335,51,11.0014,201
4298,2011/7/2,23,1,29.52,33.335,54,19.0012,154
4299,2011/7/3,0,1,28.7,32.575,58,15.0013,144
4300,2011/7/3,1,2,28.7,32.575,61,11.0014,78
4301,2011/7/3,2,1,28.7,32.575,58,12.998,69
4302,2011/7/3,3,3,27.88,31.82,65,6.0032,33
4303,2011/7/3,4,3,27.88,31.82,65,6.0032,5
4304,2011/7/3,5,3,25.42,28.79,83,12.998,1
4305,2011/7/3,6,2,25.42,27.275,94,6.0032,3
4306,2011/7/3,7,2,26.24,28.79,89,12.998,25
4307,2011/7/3,8,1,27.88,31.82,79,15.0013,92
4308,2011/7/3,9,1,28.7,33.335,74,16.9979,181
4309,2011/7/3,10,1,30.34,34.85,66,11.0014,264
4310,2011/7/3,11,1,31.16,35.605,62,7.0015,390
4311,2011/7/3,12,1,32.8,37.88,55,7.0015,404
4312,2011/7/3,13,1,32.8,38.635,59,15.0013,421
4313,2011/7/3,14,1,33.62,39.395,56,16.9979,375
4314,2011/7/3,15,1,34.44,40.15,53,19.9995,376
4315,2011/7/3,16,1,34.44,40.15,53,19.9995,414
4316,2011/7/3,17,3,32.8,37.12,49,56.9969,358
4317,2011/7/3,18,3,32.8,37.12,49,56.9969,181
4318,2011/7/3,19,2,27.06,30.305,83,12.998,183
4319,2011/7/3,20,3,27.06,30.305,83,0,176
4320,2011/7/3,21,2,27.06,30.305,83,11.0014,167
4321,2011/7/3,22,2,27.06,30.305,78,7.0015,162
4322,2011/7/3,23,1,26.24,28.79,83,11.0014,147
4323,2011/7/4,0,1,26.24,28.79,83,8.9981,140
4324,2011/7/4,1,1,26.24,28.79,83,6.0032,119
4325,2011/7/4,2,1,26.24,28.79,83,0,63
4326,2011/7/4,3,1,26.24,29.545,78,0,26
4327,2011/7/4,4,2,27.06,30.305,78,6.0032,12
4328,2011/7/4,5,2,26.24,28.79,83,8.9981,4
4329,2011/7/4,6,1,26.24,28.79,89,11.0014,16
4330,2011/7/4,7,1,27.06,30.305,83,8.9981,36
4331,2011/7/4,8,1,28.7,33.335,74,7.0015,86
4332,2011/7/4,9,2,29.52,34.09,66,6.0032,238
4333,2011/7/4,10,2,31.16,34.85,55,6.0032,280
4334,2011/7/4,11,2,31.16,34.85,55,6.0032,349
4335,2011/7/4,12,2,31.98,35.605,52,0,447
4336,2011/7/4,13,2,31.98,35.605,49,0,423
4337,2011/7/4,14,1,32.8,36.365,46,0,408
4338,2011/7/4,15,1,33.62,37.12,43,6.0032,408
4339,2011/7/4,16,1,33.62,37.12,41,0,452
4340,2011/7/4,17,1,32.8,36.365,46,0,436
4341,2011/7/4,18,1,32.8,36.365,46,8.9981,418
4342,2011/7/4,19,2,31.98,35.605,49,11.0014,375
4343,2011/7/4,20,2,31.16,34.85,55,7.0015,386
4344,2011/7/4,21,2,30.34,34.09,62,7.0015,457
4345,2011/7/4,22,2,30.34,34.09,62,8.9981,326
4346,2011/7/4,23,2,29.52,34.09,70,7.0015,138
4347,2011/7/5,0,2,28.7,32.575,65,11.0014,55
4348,2011/7/5,1,1,28.7,32.575,65,7.0015,39
4349,2011/7/5,2,1,27.06,31.06,74,6.0032,13
4350,2011/7/5,3,1,27.06,31.06,74,15.0013,8
4351,2011/7/5,4,1,27.06,31.06,69,11.0014,5
4352,2011/7/5,5,1,27.06,31.06,69,0,20
4353,2011/7/5,6,1,27.06,31.06,74,6.0032,94
4354,2011/7/5,7,1,28.7,32.575,65,6.0032,270
4355,2011/7/5,8,1,29.52,34.09,62,8.9981,432
4356,2011/7/5,9,1,30.34,34.09,58,8.9981,227
4357,2011/7/5,10,1,31.16,34.85,52,7.0015,139
4358,2011/7/5,11,1,31.98,34.85,46,7.0015,172
4359,2011/7/5,12,1,32.8,36.365,43,7.0015,201
4360,2011/7/5,13,1,33.62,37.12,43,7.0015,203
4361,2011/7/5,14,1,32.8,37.12,49,11.0014,178
4362,2011/7/5,15,1,33.62,37.12,43,0,162
4363,2011/7/5,16,1,33.62,37.88,46,7.0015,281
4364,2011/7/5,17,1,33.62,37.88,46,7.0015,545
4365,2011/7/5,18,1,32.8,37.88,55,11.0014,496
4366,2011/7/5,19,1,32.8,38.635,59,8.9981,368
4367,2011/7/5,20,1,31.16,36.365,66,7.0015,284
4368,2011/7/5,21,1,31.98,37.12,62,16.9979,245
4369,2011/7/5,22,1,31.16,36.365,66,15.0013,155
4370,2011/7/5,23,1,30.34,34.85,66,11.0014,73
4371,2011/7/6,0,1,29.52,34.85,74,12.998,37
4372,2011/7/6,1,1,28.7,33.335,74,8.9981,15
4373,2011/7/6,2,1,28.7,33.335,79,6.0032,5
