instant,dteday,hr,weathersit,temp,atemp,hum,windspeed,season,holiday,weekday,workingday,cnt
1046,2011/2/16,7,2,8.2,9.85,55,15.0013,1,0,3,1,108
1047,2011/2/16,8,2,9.02,11.365,55,11.0014,1,0,3,1,230
1048,2011/2/16,9,1,9.84,10.605,52,19.0012,1,0,3,1,124
1049,2011/2/16,10,1,10.66,11.365,41,26.0027,1,0,3,1,69
1050,2011/2/16,11,1,13.94,15.15,34,19.9995,1,0,3,1,66
1051,2011/2/16,12,1,15.58,19.695,32,22.0028,1,0,3,1,86
1052,2011/2/16,13,1,17.22,21.21,30,23.9994,1,0,3,1,93
1053,2011/2/16,14,1,18.86,22.725,28,27.9993,1,0,3,1,82
1054,2011/2/16,15,1,18.86,22.725,28,27.9993,1,0,3,1,117
1055,2011/2/16,16,1,18.86,22.725,31,26.0027,1,0,3,1,122
1056,2011/2/16,17,1,18.86,22.725,28,19.0012,1,0,3,1,255
1057,2011/2/16,18,1,16.4,20.455,40,15.0013,1,0,3,1,222
1058,2011/2/16,19,1,13.94,15.91,53,15.0013,1,0,3,1,161
1059,2011/2/16,20,1,15.58,19.695,43,12.998,1,0,3,1,118
1060,2011/2/16,21,1,14.76,17.425,46,12.998,1,0,3,1,92
1061,2011/2/16,22,1,13.94,16.665,53,12.998,1,0,3,1,73
1062,2011/2/16,23,1,15.58,19.695,40,15.0013,1,0,3,1,33
1063,2011/2/17,0,1,13.94,16.665,53,12.998,1,0,4,1,17
1064,2011/2/17,1,1,13.94,15.91,53,15.0013,1,0,4,1,6
1065,2011/2/17,2,2,13.94,15.91,53,15.0013,1,0,4,1,6
1066,2011/2/17,3,1,13.94,16.665,53,12.998,1,0,4,1,4
1067,2011/2/17,4,1,13.12,15.91,57,12.998,1,0,4,1,4
1068,2011/2/17,5,1,13.12,16.665,66,6.0032,1,0,4,1,12
1069,2011/2/17,6,1,12.3,15.15,70,8.9981,1,0,4,1,47
1070,2011/2/17,7,1,13.12,16.665,57,7.0015,1,0,4,1,126
1071,2011/2/17,8,1,13.12,16.665,57,6.0032,1,0,4,1,285
1072,2011/2/17,9,1,14.76,17.425,57,12.998,1,0,4,1,179
1073,2011/2/17,10,1,15.58,19.695,54,12.998,1,0,4,1,88
1074,2011/2/17,11,2,18.04,21.97,44,16.9979,1,0,4,1,90
1075,2011/2/17,12,1,19.68,23.485,41,15.0013,1,0,4,1,101
1076,2011/2/17,13,1,22.14,25.76,34,15.0013,1,0,4,1,123
1077,2011/2/17,14,1,24.6,31.06,31,15.0013,1,0,4,1,81
1078,2011/2/17,15,1,24.6,30.305,28,16.9979,1,0,4,1,106
1079,2011/2/17,16,2,22.96,26.515,35,19.9995,1,0,4,1,146
1080,2011/2/17,17,2,23.78,27.275,32,19.9995,1,0,4,1,274
1081,2011/2/17,18,2,22.14,25.76,42,19.0012,1,0,4,1,222
1082,2011/2/17,19,1,19.68,23.485,55,22.0028,1,0,4,1,175
1083,2011/2/17,20,1,19.68,23.485,59,22.0028,1,0,4,1,139
1084,2011/2/17,21,1,21.32,25,55,26.0027,1,0,4,1,124
1085,2011/2/17,22,1,20.5,24.24,59,19.0012,1,0,4,1,76
1086,2011/2/17,23,1,18.86,22.725,67,19.9995,1,0,4,1,44
1087,2011/2/18,0,1,18.04,21.97,72,19.0012,1,0,5,1,32
1088,2011/2/18,1,1,18.04,21.97,72,15.0013,1,0,5,1,8
1089,2011/2/18,2,1,18.04,21.97,72,19.0012,1,0,5,1,7
1090,2011/2/18,3,1,18.86,22.725,67,16.9979,1,0,5,1,8
1091,2011/2/18,4,1,18.86,22.725,67,16.9979,1,0,5,1,1
1092,2011/2/18,5,2,18.86,22.725,67,7.0015,1,0,5,1,7
1093,2011/2/18,6,2,18.04,21.97,72,11.0014,1,0,5,1,50
1094,2011/2/18,7,2,17.22,21.21,77,15.0013,1,0,5,1,116
1095,2011/2/18,8,2,17.22,21.21,77,12.998,1,0,5,1,272
1096,2011/2/18,9,2,17.22,21.21,77,12.998,1,0,5,1,169
1097,2011/2/18,10,2,18.04,21.97,72,15.0013,1,0,5,1,95
1098,2011/2/18,11,1,18.04,21.97,72,11.0014,1,0,5,1,113
1099,2011/2/18,12,1,20.5,24.24,59,12.998,1,0,5,1,185
1100,2011/2/18,13,1,24.6,31.06,43,12.998,1,0,5,1,176
1101,2011/2/18,14,1,27.06,31.06,36,19.9995,1,0,5,1,191
1102,2011/2/18,15,1,27.06,31.06,36,22.0028,1,0,5,1,172
1103,2011/2/18,16,1,27.06,31.06,36,19.0012,1,0,5,1,232
1104,2011/2/18,17,1,27.06,31.06,34,23.9994,1,0,5,1,327
1105,2011/2/18,18,1,26.24,31.06,33,22.0028,1,0,5,1,224
1106,2011/2/18,19,1,25.42,31.06,29,39.0007,1,0,5,1,162
1107,2011/2/18,20,1,24.6,31.06,31,12.998,1,0,5,1,124
1108,2011/2/18,21,1,23.78,27.275,21,32.9975,1,0,5,1,72
1109,2011/2/18,22,1,22.14,25.76,10,16.9979,1,0,5,1,107
1110,2011/2/18,23,1,21.32,25,8,19.0012,1,0,5,1,77
1111,2011/2/19,0,1,19.68,23.485,12,32.9975,1,0,6,0,29
1112,2011/2/19,1,1,18.86,22.725,14,27.9993,1,0,6,0,31
1113,2011/2/19,2,1,18.04,21.97,13,26.0027,1,0,6,0,17
1114,2011/2/19,3,1,17.22,21.21,14,19.9995,1,0,6,0,7
1115,2011/2/19,4,1,16.4,20.455,15,22.0028,1,0,6,0,3
1116,2011/2/19,5,1,16.4,20.455,15,22.0028,1,0,6,0,3
1117,2011/2/19,6,1,16.4,20.455,17,27.9993,1,0,6,0,6
1118,2011/2/19,7,1,15.58,19.695,17,35.0008,1,0,6,0,22
1119,2011/2/19,8,1,15.58,19.695,17,39.0007,1,0,6,0,45
1120,2011/2/19,9,1,16.4,20.455,16,43.9989,1,0,6,0,55
1121,2011/2/19,10,1,17.22,21.21,16,39.0007,1,0,6,0,106
1122,2011/2/19,11,1,18.04,21.97,16,39.0007,1,0,6,0,123
1123,2011/2/19,12,1,18.04,21.97,18,32.9975,1,0,6,0,119
1124,2011/2/19,13,1,18.04,21.97,16,40.9973,1,0,6,0,155
1125,2011/2/19,14,1,18.86,22.725,15,43.9989,1,0,6,0,196
1126,2011/2/19,15,1,18.04,21.97,16,50.0021,1,0,6,0,171
1127,2011/2/19,16,1,18.04,21.97,16,43.0006,1,0,6,0,120
1128,2011/2/19,17,1,17.22,21.21,19,40.9973,1,0,6,0,127
1129,2011/2/19,18,1,14.76,15.91,25,30.0026,1,0,6,0,88
1130,2011/2/19,19,1,13.94,15.15,29,23.9994,1,0,6,0,59
1131,2011/2/19,20,1,13.12,14.395,28,35.0008,1,0,6,0,47
1132,2011/2/19,21,1,13.12,13.635,26,36.9974,1,0,6,0,33
1133,2011/2/19,22,1,12.3,12.88,28,32.9975,1,0,6,0,44
1134,2011/2/19,23,1,11.48,12.12,33,30.0026,1,0,6,0,29
1135,2011/2/20,0,1,10.66,10.605,35,30.0026,1,0,0,0,17
1136,2011/2/20,1,1,9.84,9.85,41,31.0009,1,0,0,0,16
1137,2011/2/20,2,1,9.84,9.85,41,36.9974,1,0,0,0,17
1138,2011/2/20,3,1,9.02,9.09,44,36.9974,1,0,0,0,18
1139,2011/2/20,4,1,9.02,9.09,44,36.9974,1,0,0,0,1
1140,2011/2/20,6,1,8.2,9.09,47,19.9995,1,0,0,0,2
1141,2011/2/20,7,1,7.38,8.335,51,16.9979,1,0,0,0,2
1142,2011/2/20,8,1,8.2,11.365,51,7.0015,1,0,0,0,24
1143,2011/2/20,9,1,9.02,10.605,47,19.0012,1,0,0,0,55
1144,2011/2/20,10,2,10.66,12.88,41,12.998,1,0,0,0,104
1145,2011/2/20,11,2,12.3,15.15,33,11.0014,1,0,0,0,161
1146,2011/2/20,12,1,12.3,15.91,33,7.0015,1,0,0,0,182
1147,2011/2/20,13,1,13.94,16.665,29,0,1,0,0,0,198
1148,2011/2/20,14,1,14.76,17.425,27,11.0014,1,0,0,0,212
1149,2011/2/20,15,1,14.76,18.18,27,6.0032,1,0,0,0,168
1150,2011/2/20,16,1,14.76,18.18,29,6.0032,1,0,0,0,147
1151,2011/2/20,17,1,13.94,17.425,33,11.0014,1,0,0,0,146
1152,2011/2/20,18,2,13.94,16.665,36,8.9981,1,0,0,0,101
1153,2011/2/20,19,2,13.94,16.665,36,8.9981,1,0,0,0,42
1154,2011/2/20,20,2,13.94,18.18,42,0,1,0,0,0,42
1155,2011/2/20,21,2,13.12,17.425,53,0,1,0,0,0,56
1156,2011/2/20,22,2,13.12,15.15,57,15.0013,1,0,0,0,47
1157,2011/2/20,23,2,12.3,15.15,61,11.0014,1,0,0,0,54
1158,2011/2/21,0,2,13.94,15.15,42,22.0028,1,1,1,0,37
1159,2011/2/21,1,2,13.94,15.15,42,22.0028,1,1,1,0,13
1160,2011/2/21,2,2,13.94,15.15,42,22.0028,1,1,1,0,4
1161,2011/2/21,3,2,13.94,15.15,42,19.9995,1,1,1,0,5
1162,2011/2/21,4,1,13.12,15.91,45,11.0014,1,1,1,0,1
1163,2011/2/21,5,2,13.94,18.18,36,0,1,1,1,0,3
1164,2011/2/21,6,2,17.22,21.21,26,19.9995,1,1,1,0,8
1165,2011/2/21,7,2,17.22,21.21,26,19.0012,1,1,1,0,19
1166,2011/2/21,8,2,13.12,15.15,57,19.9995,1,1,1,0,63
1167,2011/2/21,9,2,13.12,15.15,57,19.0012,1,1,1,0,57
1168,2011/2/21,10,2,13.12,15.15,57,16.9979,1,1,1,0,81
1169,2011/2/21,11,2,13.12,16.665,57,7.0015,1,1,1,0,90
1170,2011/2/21,12,2,13.12,15.91,66,12.998,1,1,1,0,93
1171,2011/2/21,13,3,12.3,13.635,81,22.0028,1,1,1,0,103
1172,2011/2/21,14,2,13.12,15.15,76,16.9979,1,1,1,0,116
1173,2011/2/21,15,2,12.3,13.635,70,30.0026,1,1,1,0,87
1174,2011/2/21,16,3,11.48,12.12,75,27.9993,1,1,1,0,56
1175,2011/2/21,17,2,11.48,12.88,75,26.0027,1,1,1,0,80
1176,2011/2/21,18,2,9.84,10.605,87,23.9994,1,1,1,0,66
1177,2011/2/21,19,2,9.84,10.605,87,23.9994,1,1,1,0,49
1178,2011/2/21,20,3,9.84,10.605,81,26.0027,1,1,1,0,29
1179,2011/2/21,21,3,9.02,9.85,75,30.0026,1,1,1,0,34
1180,2011/2/21,22,3,8.2,8.335,75,27.9993,1,1,1,0,11
1181,2011/2/21,23,3,8.2,8.335,75,27.9993,1,1,1,0,2
1182,2011/2/22,6,2,4.92,6.06,80,19.0012,1,0,2,1,7
1183,2011/2/22,7,2,4.92,6.06,80,19.0012,1,0,2,1,40
1184,2011/2/22,8,2,4.92,6.06,80,16.9979,1,0,2,1,114
1185,2011/2/22,9,2,5.74,6.06,74,16.9979,1,0,2,1,106
1186,2011/2/22,10,1,6.56,9.09,69,0,1,0,2,1,44
1187,2011/2/22,11,1,6.56,11.365,64,0,1,0,2,1,50
1188,2011/2/22,12,1,8.2,11.365,59,7.0015,1,0,2,1,55
1189,2011/2/22,13,1,9.02,11.365,55,11.0014,1,0,2,1,55
1190,2011/2/22,14,1,9.02,11.365,55,12.998,1,0,2,1,58
1191,2011/2/22,15,1,9.84,11.365,48,12.998,1,0,2,1,69
1192,2011/2/22,16,1,9.02,11.365,51,11.0014,1,0,2,1,86
1193,2011/2/22,17,1,9.02,10.605,51,15.0013,1,0,2,1,196
1194,2011/2/22,18,1,9.02,11.365,47,8.9981,1,0,2,1,167
1195,2011/2/22,19,1,8.2,9.09,47,19.0012,1,0,2,1,118
1196,2011/2/22,20,1,8.2,9.85,47,15.0013,1,0,2,1,105
1197,2011/2/22,21,1,8.2,9.85,47,16.9979,1,0,2,1,82
1198,2011/2/22,22,1,6.56,7.575,43,16.9979,1,0,2,1,77
1199,2011/2/22,23,1,6.56,7.575,43,16.9979,1,0,2,1,21
1200,2011/2/23,0,1,5.74,6.82,50,12.998,1,0,3,1,6
1201,2011/2/23,1,1,5.74,7.575,46,11.0014,1,0,3,1,4
1202,2011/2/23,2,1,4.92,7.575,50,8.9981,1,0,3,1,1
1203,2011/2/23,3,1,4.92,6.82,50,11.0014,1,0,3,1,2
1204,2011/2/23,5,1,4.92,7.575,50,7.0015,1,0,3,1,8
1205,2011/2/23,6,1,4.92,7.575,50,7.0015,1,0,3,1,36
1206,2011/2/23,7,1,4.92,7.575,54,8.9981,1,0,3,1,96
1207,2011/2/23,8,1,5.74,7.575,54,11.0014,1,0,3,1,235
1208,2011/2/23,9,1,7.38,10.605,51,6.0032,1,0,3,1,139
1209,2011/2/23,10,1,8.2,12.88,40,0,1,0,3,1,51
1210,2011/2/23,11,1,9.84,12.88,41,7.0015,1,0,3,1,69
1211,2011/2/23,12,1,10.66,14.395,35,6.0032,1,0,3,1,67
1212,2011/2/23,13,1,12.3,15.91,28,6.0032,1,0,3,1,87
1213,2011/2/23,14,1,13.12,16.665,29,7.0015,1,0,3,1,78
1214,2011/2/23,15,1,13.94,17.425,25,6.0032,1,0,3,1,72
1215,2011/2/23,16,1,13.94,18.18,25,0,1,0,3,1,94
1216,2011/2/23,17,1,13.94,17.425,25,6.0032,1,0,3,1,222
1217,2011/2/23,18,1,13.12,16.665,26,6.0032,1,0,3,1,209
1218,2011/2/23,19,1,12.3,16.665,33,0,1,0,3,1,141
1219,2011/2/23,20,1,9.84,12.12,60,11.0014,1,0,3,1,109
1220,2011/2/23,21,1,9.84,14.395,48,0,1,0,3,1,91
1221,2011/2/23,22,1,9.84,14.395,48,0,1,0,3,1,61
1222,2011/2/23,23,1,9.02,12.88,55,6.0032,1,0,3,1,39
1223,2011/2/24,0,1,9.02,12.88,55,6.0032,1,0,4,1,11
1224,2011/2/24,1,1,9.02,12.88,60,6.0032,1,0,4,1,7
1225,2011/2/24,2,1,8.2,11.365,64,6.0032,1,0,4,1,4
1226,2011/2/24,3,1,8.2,10.605,64,8.9981,1,0,4,1,2
1227,2011/2/24,5,1,8.2,10.605,69,8.9981,1,0,4,1,4
1228,2011/2/24,6,1,8.2,9.85,69,12.998,1,0,4,1,58
1229,2011/2/24,7,1,8.2,9.85,72,12.998,1,0,4,1,104
1230,2011/2/24,8,1,9.84,11.365,70,15.0013,1,0,4,1,252
1231,2011/2/24,9,2,9.84,10.605,75,19.9995,1,0,4,1,137
1232,2011/2/24,10,2,10.66,12.12,70,19.0012,1,0,4,1,57
1233,2011/2/24,11,2,13.12,14.395,57,26.0027,1,0,4,1,79
1234,2011/2/24,12,2,14.76,16.665,53,23.9994,1,0,4,1,95
1235,2011/2/24,13,2,15.58,19.695,54,19.9995,1,0,4,1,88
1236,2011/2/24,14,2,16.4,20.455,50,19.9995,1,0,4,1,69
1237,2011/2/24,15,3,16.4,20.455,54,26.0027,1,0,4,1,63
1238,2011/2/24,16,3,15.58,19.695,62,19.0012,1,0,4,1,71
1239,2011/2/24,17,3,14.76,17.425,66,12.998,1,0,4,1,177
1240,2011/2/24,18,2,13.94,15.15,87,22.0028,1,0,4,1,137
1241,2011/2/24,19,3,13.94,15.15,93,19.9995,1,0,4,1,115
1242,2011/2/24,20,2,13.94,15.15,93,23.9994,1,0,4,1,89
1243,2011/2/24,21,2,13.94,15.15,87,22.0028,1,0,4,1,83
1244,2011/2/24,22,3,13.94,15.91,87,19.0012,1,0,4,1,55
1245,2011/2/24,23,2,13.12,15.15,93,15.0013,1,0,4,1,50
1246,2011/2/25,0,3,13.12,17.425,93,0,1,0,5,1,9
1247,2011/2/25,1,2,13.12,17.425,100,0,1,0,5,1,10
1248,2011/2/25,2,2,13.12,17.425,100,0,1,0,5,1,3
1249,2011/2/25,3,2,13.12,16.665,93,7.0015,1,0,5,1,2
1250,2011/2/25,5,2,13.12,16.665,93,7.0015,1,0,5,1,6
1251,2011/2/25,6,3,13.94,17.425,93,6.0032,1,0,5,1,11
1252,2011/2/25,7,3,13.94,16.665,100,8.9981,1,0,5,1,35
1253,2011/2/25,8,3,14.76,17.425,93,8.9981,1,0,5,1,73
1254,2011/2/25,9,3,13.94,15.15,93,23.9994,1,0,5,1,114
1255,2011/2/25,10,3,17.22,21.21,94,22.0028,1,0,5,1,49
1256,2011/2/25,11,1,21.32,25,77,30.0026,1,0,5,1,59
1257,2011/2/25,12,3,22.14,25.76,60,31.0009,1,0,5,1,115
1258,2011/2/25,13,3,22.14,25.76,60,31.0009,1,0,5,1,83
1259,2011/2/25,14,3,22.96,26.515,56,40.9973,1,0,5,1,85
1260,2011/2/25,15,1,18.86,22.725,41,54.002,1,0,5,1,55
1261,2011/2/25,16,1,13.12,14.395,49,31.0009,1,0,5,1,102
1262,2011/2/25,17,1,13.12,13.635,49,50.0021,1,0,5,1,189
1263,2011/2/25,18,1,13.12,14.395,49,32.9975,1,0,5,1,157
1264,2011/2/25,19,1,12.3,13.635,52,30.0026,1,0,5,1,90
1265,2011/2/25,20,1,12.3,12.88,49,40.9973,1,0,5,1,62
1266,2011/2/25,21,1,11.48,12.88,48,26.0027,1,0,5,1,63
1267,2011/2/25,22,1,10.66,10.605,48,30.0026,1,0,5,1,50
1268,2011/2/25,23,1,10.66,11.365,48,22.0028,1,0,5,1,39
1269,2011/2/26,0,1,9.84,11.365,52,12.998,1,0,6,0,28
1270,2011/2/26,1,1,9.84,10.605,52,19.9995,1,0,6,0,27
1271,2011/2/26,2,1,9.02,9.85,60,23.9994,1,0,6,0,12
1272,2011/2/26,3,1,9.02,11.365,55,8.9981,1,0,6,0,8
1273,2011/2/26,4,2,9.02,12.88,60,6.0032,1,0,6,0,2
1274,2011/2/26,5,2,9.02,12.12,64,7.0015,1,0,6,0,10
1275,2011/2/26,6,1,9.02,13.635,60,0,1,0,6,0,7
1276,2011/2/26,7,1,9.02,12.88,60,6.0032,1,0,6,0,22
1277,2011/2/26,8,2,9.84,14.395,60,0,1,0,6,0,57
1278,2011/2/26,9,2,10.66,12.88,56,11.0014,1,0,6,0,74
1279,2011/2/26,10,2,12.3,15.15,49,8.9981,1,0,6,0,85
1280,2011/2/26,11,1,12.3,16.665,45,0,1,0,6,0,126
1281,2011/2/26,12,2,13.12,15.91,45,11.0014,1,0,6,0,160
1282,2011/2/26,13,2,13.94,15.91,42,16.9979,1,0,6,0,174
1283,2011/2/26,14,2,13.94,15.15,36,22.0028,1,0,6,0,211
1284,2011/2/26,15,2,14.76,16.665,40,19.0012,1,0,6,0,165
1285,2011/2/26,16,1,14.76,16.665,46,19.0012,1,0,6,0,171
1286,2011/2/26,17,1,14.76,17.425,43,15.0013,1,0,6,0,183
1287,2011/2/26,18,1,13.94,16.665,46,12.998,1,0,6,0,137
1288,2011/2/26,19,1,13.12,15.15,49,16.9979,1,0,6,0,94
1289,2011/2/26,20,1,12.3,15.15,56,11.0014,1,0,6,0,68
1290,2011/2/26,21,1,11.48,13.635,65,16.9979,1,0,6,0,68
1291,2011/2/26,22,1,11.48,13.635,75,15.0013,1,0,6,0,46
1292,2011/2/26,23,1,11.48,12.88,75,19.0012,1,0,6,0,34
1293,2011/2/27,0,1,10.66,12.12,87,19.0012,1,0,0,0,34
1294,2011/2/27,1,1,10.66,12.88,87,12.998,1,0,0,0,37
1295,2011/2/27,2,1,10.66,13.635,87,8.9981,1,0,0,0,22
1296,2011/2/27,3,1,10.66,14.395,87,6.0032,1,0,0,0,11
1297,2011/2/27,4,1,9.84,12.12,87,8.9981,1,0,0,0,2
1298,2011/2/27,6,1,9.84,14.395,87,0,1,0,0,0,3
1299,2011/2/27,7,1,9.84,12.12,87,8.9981,1,0,0,0,14
1300,2011/2/27,8,1,10.66,15.15,87,0,1,0,0,0,35
1301,2011/2/27,9,1,11.48,15.15,87,6.0032,1,0,0,0,59
1302,2011/2/27,10,1,12.3,15.15,81,11.0014,1,0,0,0,103
1303,2011/2/27,11,1,14.76,17.425,62,8.9981,1,0,0,0,125
1304,2011/2/27,12,1,16.4,20.455,54,6.0032,1,0,0,0,193
1305,2011/2/27,13,1,17.22,21.21,47,0,1,0,0,0,259
1306,2011/2/27,14,1,18.04,21.97,47,6.0032,1,0,0,0,282
1307,2011/2/27,15,1,18.86,22.725,44,8.9981,1,0,0,0,261
1308,2011/2/27,16,1,19.68,23.485,44,11.0014,1,0,0,0,268
1309,2011/2/27,17,1,17.22,21.21,54,12.998,1,0,0,0,187
1310,2011/2/27,18,1,16.4,20.455,54,12.998,1,0,0,0,127
1311,2011/2/27,19,1,16.4,20.455,54,8.9981,1,0,0,0,102
1312,2011/2/27,20,1,16.4,20.455,54,6.0032,1,0,0,0,81
1313,2011/2/27,21,1,15.58,19.695,62,11.0014,1,0,0,0,69
1314,2011/2/27,22,2,15.58,19.695,62,7.0015,1,0,0,0,69
1315,2011/2/27,23,2,14.76,17.425,62,11.0014,1,0,0,0,59
1316,2011/2/28,0,2,14.76,18.18,66,7.0015,1,0,1,1,30
1317,2011/2/28,1,3,13.94,15.15,87,23.9994,1,0,1,1,8
1318,2011/2/28,3,3,13.12,15.91,93,11.0014,1,0,1,1,1
1319,2011/2/28,5,2,13.94,18.18,93,0,1,0,1,1,5
1320,2011/2/28,6,2,13.94,17.425,96,7.0015,1,0,1,1,28
1321,2011/2/28,7,2,14.76,18.18,93,7.0015,1,0,1,1,92
1322,2011/2/28,8,2,13.94,15.15,93,19.9995,1,0,1,1,255
1323,2011/2/28,9,1,17.22,21.21,82,19.0012,1,0,1,1,142
1324,2011/2/28,10,2,21.32,25,72,32.9975,1,0,1,1,92
1325,2011/2/28,11,2,22.96,26.515,64,19.9995,1,0,1,1,87
1326,2011/2/28,12,2,22.96,26.515,64,19.9995,1,0,1,1,36
1327,2011/2/28,13,3,18.86,22.725,94,15.0013,1,0,1,1,32
1328,2011/2/28,14,3,17.22,21.21,100,19.9995,1,0,1,1,25
1329,2011/2/28,15,3,17.22,21.21,100,19.9995,1,0,1,1,35
1330,2011/2/28,16,3,17.22,21.21,100,8.9981,1,0,1,1,42
1331,2011/2/28,17,3,16.4,20.455,100,19.9995,1,0,1,1,79
1332,2011/2/28,18,3,18.86,22.725,94,12.998,1,0,1,1,131
1333,2011/2/28,19,3,18.04,21.97,88,40.9973,1,0,1,1,80
1334,2011/2/28,20,3,18.04,21.97,88,40.9973,1,0,1,1,45
1335,2011/2/28,21,2,15.58,19.695,87,26.0027,1,0,1,1,80
1336,2011/2/28,22,3,13.94,15.15,93,27.9993,1,0,1,1,76
1337,2011/2/28,23,2,13.12,14.395,81,26.0027,1,0,1,1,45
1338,2011/3/1,0,1,12.3,13.635,70,31.0009,1,0,2,1,7
1339,2011/3/1,1,1,10.66,11.365,70,23.9994,1,0,2,1,3
1340,2011/3/1,2,1,9.84,10.605,65,26.0027,1,0,2,1,4
1341,2011/3/1,3,1,9.02,10.605,69,19.0012,1,0,2,1,2
1342,2011/3/1,4,1,9.02,10.605,69,16.9979,1,0,2,1,1
1343,2011/3/1,5,1,8.2,9.09,64,19.0012,1,0,2,1,2
1344,2011/3/1,6,1,8.2,9.09,59,19.9995,1,0,2,1,46
1345,2011/3/1,7,1,8.2,9.09,59,22.0028,1,0,2,1,107
1346,2011/3/1,8,1,8.2,9.09,59,26.0027,1,0,2,1,214
1347,2011/3/1,9,1,9.02,9.85,55,27.9993,1,0,2,1,124
1348,2011/3/1,10,1,9.84,10.605,52,19.0012,1,0,2,1,68
1349,2011/3/1,11,1,11.48,13.635,45,16.9979,1,0,2,1,56
1350,2011/3/1,12,1,12.3,15.15,39,8.9981,1,0,2,1,86
1351,2011/3/1,13,1,13.12,17.425,39,0,1,0,2,1,78
1352,2011/3/1,14,1,13.12,16.665,36,8.9981,1,0,2,1,79
1353,2011/3/1,15,1,13.94,18.18,34,0,1,0,2,1,64
1354,2011/3/1,16,1,13.94,17.425,34,6.0032,1,0,2,1,102
1355,2011/3/1,17,1,13.94,17.425,34,6.0032,1,0,2,1,242
1356,2011/3/1,18,1,13.12,15.91,39,12.998,1,0,2,1,224
1357,2011/3/1,19,1,12.3,15.15,49,8.9981,1,0,2,1,119
1358,2011/3/1,20,1,12.3,15.91,61,6.0032,1,0,2,1,88
1359,2011/3/1,21,1,10.66,15.15,56,0,1,0,2,1,63
1360,2011/3/1,22,1,9.84,13.635,62,7.0015,1,0,2,1,47
1361,2011/3/1,23,1,9.84,11.365,65,15.0013,1,0,2,1,25
1362,2011/3/2,0,1,9.02,11.365,69,11.0014,1,0,3,1,8
1363,2011/3/2,1,1,9.02,11.365,69,12.998,1,0,3,1,4
1364,2011/3/2,2,1,9.02,11.365,69,12.998,1,0,3,1,2
1365,2011/3/2,3,1,9.02,10.605,69,19.0012,1,0,3,1,4
1366,2011/3/2,4,1,8.2,10.605,75,8.9981,1,0,3,1,1
1367,2011/3/2,5,1,9.02,10.605,69,15.0013,1,0,3,1,5
1368,2011/3/2,6,1,9.02,10.605,55,16.9979,1,0,3,1,40
1369,2011/3/2,7,1,9.02,10.605,64,16.9979,1,0,3,1,110
1370,2011/3/2,8,1,9.84,10.605,65,19.0012,1,0,3,1,256
1371,2011/3/2,9,1,11.48,12.88,56,19.9995,1,0,3,1,148
1372,2011/3/2,10,1,13.12,15.15,49,19.0012,1,0,3,1,76
1373,2011/3/2,11,1,13.94,15.15,53,22.0028,1,0,3,1,73
1374,2011/3/2,12,1,16.4,20.455,43,12.998,1,0,3,1,82
1375,2011/3/2,13,1,20.5,24.24,25,0,1,0,3,1,125
1376,2011/3/2,14,1,21.32,25,23,19.9995,1,0,3,1,96
1377,2011/3/2,15,1,22.14,25.76,19,27.9993,1,0,3,1,110
1378,2011/3/2,16,1,22.14,25.76,19,22.0028,1,0,3,1,139
1379,2011/3/2,17,1,20.5,24.24,23,19.0012,1,0,3,1,268
1380,2011/3/2,18,1,18.86,22.725,23,32.9975,1,0,3,1,201
1381,2011/3/2,19,1,16.4,20.455,28,35.0008,1,0,3,1,150
1382,2011/3/2,20,1,14.76,16.665,29,27.9993,1,0,3,1,95
1383,2011/3/2,21,1,13.94,14.395,29,31.0009,1,0,3,1,71
1384,2011/3/2,22,1,12.3,12.88,26,36.9974,1,0,3,1,48
1385,2011/3/2,23,1,10.66,10.605,30,35.0008,1,0,3,1,22
1386,2011/3/3,0,1,9.84,9.85,30,31.0009,1,0,4,1,13
1387,2011/3/3,1,1,9.84,9.85,30,31.0009,1,0,4,1,1
1388,2011/3/3,2,1,8.2,8.335,27,31.0009,1,0,4,1,3
1389,2011/3/3,3,1,8.2,8.335,27,31.0009,1,0,4,1,1
1390,2011/3/3,4,1,6.56,6.06,31,32.9975,1,0,4,1,1
1391,2011/3/3,5,1,5.74,6.06,33,19.9995,1,0,4,1,8
1392,2011/3/3,6,1,5.74,6.06,33,19.9995,1,0,4,1,35
1393,2011/3/3,7,1,4.92,4.545,42,27.9993,1,0,4,1,111
1394,2011/3/3,8,1,5.74,6.06,39,19.9995,1,0,4,1,220
1395,2011/3/3,9,1,6.56,6.82,37,19.0012,1,0,4,1,145
1396,2011/3/3,10,1,7.38,9.09,29,12.998,1,0,4,1,56
1397,2011/3/3,11,1,8.2,11.365,29,6.0032,1,0,4,1,50
1398,2011/3/3,12,1,9.02,11.365,25,8.9981,1,0,4,1,72
1399,2011/3/3,13,1,9.02,12.88,25,6.0032,1,0,4,1,80
1400,2011/3/3,14,1,9.84,12.88,21,7.0015,1,0,4,1,78
1401,2011/3/3,15,1,9.84,14.395,23,0,1,0,4,1,68
1402,2011/3/3,16,1,10.66,15.15,23,0,1,0,4,1,71
1403,2011/3/3,17,1,10.66,15.15,22,0,1,0,4,1,202
1404,2011/3/3,18,1,9.84,10.605,35,22.0028,1,0,4,1,167
1405,2011/3/3,19,1,8.2,9.85,40,16.9979,1,0,4,1,106
1406,2011/3/3,20,1,8.2,11.365,40,6.0032,1,0,4,1,70
